,founder,event_count,follow_count,fan_count
2351,YJ-餘悸,1,22,2
2352,老打把,5,37,5
2353,念北_95,0.01,1,0.01
2354,姜悦July,0.01,7,2
2355,头戴三叉束发紫金冠的吕小布,0.01,6,5
2356,white病娇糖,7,15,5
2357,Miss-陌巷,0.01,5,1
2358,昭苏小七七,0.01,89,11
2359,祝哈儿,2,23,16
2360,lunardoggy,1,39,3
2361,加纳殡仪公司总负责人,0.01,6,4
2362,Groupie-LOVE,0.01,30,11
2363,WY乌云-,0.01,12,2
2364,欢喜电音的民谣小仙女,86,65,89
2365,自闭少年孤寂,3,16,10
2366,An迪-,1,30,21
2367,涵彦-,0.01,5,0.01
2368,江山不复,2,15,22
2369,老炸鸡,13,195,881
2370,小荣华青啊魚nana,1,9,3
2371,Pedalox,4,3,3
2372,玛卡巴卡唔丶,0.01,6,2
2373,Kelly-喜欢喝可乐,63,10,6
2374,星河漫漫_Meteor,0.01,6,1
2375,火火-R社,13,13,1413
2376,ErfanimOffical,102,519,2118
2377,okayyyyy,0.01,22,2
2378,TinYBooM1223,5,12,1
2379,沐怡蒂熙,2,29,5
2380,FUGCHVJHV,0.01,84,3
